2026-06-11 23:29:44,535 | INFO    | src.command_queue | Enfileirado: !barco por @joao_zoeira (fila=5)
2026-06-11 23:29:44,967 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:29:46,360 | INFO    | src.cooldown | Descartado por cooldown de usuario: !cura (user=@ana.gamer)
2026-06-11 23:29:46,979 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:29:48,988 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:29:50,996 | WARNING | src.command_queue | Jogo fora de foco; reagendando !cura em 2.0s
2026-06-11 23:29:53,007 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barco em 2.0s
2026-06-11 23:29:54,120 | INFO    | src.command_queue | Enfileirado: !barril por @pedrocaos (fila=6)
2026-06-11 23:29:55,017 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:29:57,027 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:29:59,035 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:30:01,047 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:30:03,055 | WARNING | src.command_queue | Jogo fora de foco; reagendando !cura em 2.0s
2026-06-11 23:30:05,063 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:30:05,372 | INFO    | src.cooldown | Descartado por cooldown de usuario: !barco (user=@joao_zoeira)
2026-06-11 23:30:07,072 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barco em 2.0s
2026-06-11 23:30:09,080 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:30:10,812 | INFO    | src.command_queue | Enfileirado: !barril por @ana.gamer (fila=7)
2026-06-11 23:30:11,091 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:30:13,097 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:30:15,107 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:30:16,250 | INFO    | src.cooldown | Descartado por cooldown global: !barril (user=@ana.gamer)
2026-06-11 23:30:17,117 | WARNING | src.command_queue | Jogo fora de foco; reagendando !cura em 2.0s
2026-06-11 23:30:18,168 | INFO    | src.command_queue | Enfileirado: !formiga por @pedrocaos (fila=8)
2026-06-11 23:30:19,127 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:30:20,239 | INFO    | src.command_queue | Enfileirado: !cura por @ana.gamer (fila=9)
2026-06-11 23:30:21,136 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barco em 2.0s
2026-06-11 23:30:23,097 | INFO    | src.tiktok_listener | Simulacao rodando (tick 40)
2026-06-11 23:30:23,144 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:30:25,153 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:30:26,667 | INFO    | src.cooldown | Descartado por cooldown de usuario: !barril (user=@ana.gamer)
2026-06-11 23:30:27,163 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:30:28,537 | INFO    | src.command_queue | Enfileirado: !barco por @ana.gamer (fila=10)
2026-06-11 23:30:29,171 | WARNING | src.command_queue | Jogo fora de foco; reagendando !drop em 2.0s
2026-06-11 23:30:30,500 | INFO    | src.cooldown | Descartado por cooldown global: !barco (user=@lua_fps)
2026-06-11 23:30:31,180 | WARNING | src.command_queue | Jogo fora de foco; reagendando !barril em 2.0s
2026-06-11 23:30:32,433 | INFO    | src.cooldown | Descartado por cooldown global: !cura (user=@pedrocaos)
2026-06-11 23:30:33,192 | WARNING | src.command_queue | Jogo fora de foco; reagendando !formiga em 2.0s
2026-06-11 23:30:35,202 | WARNING | src.command_queue | Jogo fora de foco; reagendando !cura em 2.0s
2026-06-11 23:30:37,211 | WARNING | src.command_queue | Jogo fora de foco; reagendando !cura em 2.0s
2026-06-11 23:30:39,173 | INFO    | src.command_queue | Enfileirado: !formiga por @lua_fps (fila=11)
