2026-06-22 20:43:03,956 | INFO    | __main__ | Encerrado pelo usuario (Ctrl+C)
2026-06-22 20:45:29,233 | INFO    | __main__ | Comandos: 
2026-06-22 20:45:29,233 | INFO    | __main__ | Presentes executaveis: gamepad, gg, ice cream cone, pop, rose, tiktok, tiny diny
2026-06-22 20:45:29,233 | INFO    | __main__ | Acao de meta de likes: configurada (Python)
2026-06-22 20:45:29,233 | INFO    | __main__ | Acao de seguir: nenhuma (Tikfinity)
2026-06-22 20:45:29,233 | INFO    | __main__ | Acao de entrar na live: nenhuma
2026-06-22 20:45:29,233 | INFO    | __main__ | Meta NUCLEAR: nenhuma
2026-06-22 20:45:29,234 | INFO    | __main__ | Ranking ATIVO em MODO TESTE (banco separado: live_caos_teste.db). O banco real (live_caos.db) nao sera tocado.
2026-06-22 20:45:29,235 | INFO    | src.key_executor | Backend de teclado: pydirectinput
2026-06-22 20:45:29,236 | INFO    | src.file_bridge | Ponte por arquivo: C:\Users\davi\AppData\Roaming\Hytale\UserData\Saves\novo v2 (release)\mods\br.livecaos_livecaos\livecaos\fila.txt
2026-06-22 20:45:29,281 | INFO    | websockets.server | server listening on [::1]:8765
2026-06-22 20:45:29,281 | INFO    | websockets.server | server listening on 127.0.0.1:8765
2026-06-22 20:45:29,281 | INFO    | src.panel_server | Painel WebSocket ouvindo em ws://localhost:8765
2026-06-22 20:45:29,282 | INFO    | src.command_queue | Worker da fila iniciado
2026-06-22 20:45:29,282 | INFO    | src.tiktok_listener | MODO SIMULACAO ativo — gerando eventos falsos
2026-06-22 20:45:29,282 | INFO    | src.tiktok_listener | Simulacao vai sortear presentes: Rose, ice cream cone, gg, gamepad, pop, tiktok, tiny diny
2026-06-22 20:45:29,436 | INFO    | websockets.server | connection open
2026-06-22 20:45:29,437 | INFO    | src.panel_server | Overlay conectado (1 ativos)
2026-06-22 20:45:29,452 | INFO    | websockets.server | connection open
2026-06-22 20:45:29,452 | INFO    | src.panel_server | Overlay conectado (2 ativos)
2026-06-22 20:45:30,337 | INFO    | websockets.server | connection open
2026-06-22 20:45:30,337 | INFO    | src.panel_server | Overlay conectado (3 ativos)
2026-06-22 20:45:32,387 | INFO    | websockets.server | connection open
2026-06-22 20:45:32,388 | INFO    | src.panel_server | Overlay conectado (4 ativos)
2026-06-22 20:45:32,442 | INFO    | src.tiktok_listener | Simulacao rodando (tick 0)
2026-06-22 20:45:34,496 | INFO    | src.panel_server | Overlay desconectado (3 ativos)
2026-06-22 20:45:34,498 | INFO    | src.panel_server | Overlay desconectado (2 ativos)
2026-06-22 20:45:34,520 | INFO    | src.panel_server | Overlay desconectado (1 ativos)
2026-06-22 20:45:34,521 | INFO    | src.panel_server | Overlay desconectado (0 ativos)
2026-06-22 20:45:38,219 | INFO    | websockets.server | connection open
2026-06-22 20:45:38,220 | INFO    | src.panel_server | Overlay conectado (1 ativos)
2026-06-22 20:45:38,333 | INFO    | websockets.server | connection open
